First Name,Last Name,Sport,year,Hometown,State,state_id,Gender,lat,lng,population
David,Robertson,Baseball,2020,Tuscaloosa,Alabama,AL,,33.2348,-87.5268,164414
James,Hall,Shooting,2020,Anniston,Alabama,AL,,33.6712,-85.8135,79717
Sandra,Uptagrafft,Shooting,2020,Phenix City,Alabama,AL,,32.4585,-85.0253,38413
Haylie,McCleney,Softball ,2020,Morris,Alabama,AL,,33.7464,-86.8042,2273
Paige,Madden,Swimming,2020,Mobile,Alabama,AL,,30.6782,-88.1162,320855
Zach,Harting,Swimming,2020,Madison,Alabama,AL,,34.7114,-86.7626,56967
JuVaughn,Harrison,Track and Field,2020,Huntsville,Alabama,AL,,34.6981,-86.6412,349482
Quanesha,Burks,Track and Field,2020,Harselle,Alabama,,,,,
Alev,Kelter,Rugby ,2020,Eagle River,Alaska,,,,,
Lydia,Jacoby,Swimming,2020,Seward,Alaska,AK,,60.1124,-149.3925,2768
Brady,Ellison,Archery,2020,Globe,Arizona,AZ,,33.387,-110.7513,7230
Jamie,Westbrook,Baseball,2020,Chandler,Arizona,AZ,,33.2825,-111.8514,275618
Brandon,McNulty,Cycling,2020,Phoenix,Arizona,AZ,,33.5722,-112.0892,4064275
Corben,Sharrah,Cycling,2020,Tucson,Arizona,AZ,,32.1541,-110.8787,878320
Delaney,Schnell,Diving,2020,Tucson,Arizona,AZ,,32.1541,-110.8787,878320
Jade,Carey,Gymnastic (Artistic),2020,Phoenix,Arizona,AZ,,33.5722,-112.0892,4064275
Mykayla,Skinner,Gymnastic (Artistic),2020,Gilbert,Arizona,AZ,,33.31,-111.7463,267267
Brett,Thompson,Rugby ,2020,Tempe,Arizona,AZ,,33.3881,-111.9319,181005
Maceo,Brown,Rugby ,2020,Tempe,Arizona,AZ,,33.3881,-111.9319,181005
Alana,Smith,Skateboarding,2020,Mesa,Arizona,AZ,,33.4015,-111.7178,503390
Jagger,Eaton,Skateboarding,2020,Mesa,Arizona,AZ,,33.4015,-111.7178,503390
Julie,Ertz,Soccer ,2020,Mesa,Arizona,AZ,,33.4015,-111.7178,503390
Bethanie,Mattek-Sands,Tennis,2020,Phoenix,Arizona,AZ,,33.5722,-112.0892,4064275
Abdi,Abdirahman,Track and Field,2020,Tucson,Arizona,AZ,,32.1541,-110.8787,878320
